token	section	subcategory	specific	suppress
""" ""a.j.b."""	Other	""	""	false
""" all edges gilt"	Metal	Gilt + gold leaf	Gilt	false
""" and on rear doublure"	Other	""	""	false
""" and on rear doublure ""1969"	Other	""	""	false
""" and on rear doublure ""1989"""	Other	""	""	false
""" fine bound in black morocco leather"	Organic	Leather + hide	Leather	false
""" stamp of ""exposition p.l. martin"	Other	""	""	false
"""1985"	Other	""	""	false
"""ad. leroy-dor"""	Other	""	""	false
"""blonde"" lace"	Textiles + fiber	Lace	""	false
"""book"" with two cloth covered boards"	Textiles + fiber	Other woven textiles	Cloth	false
"""burano point"" needle lace (copy of alencon)"	Textiles + fiber	Lace	""	false
"""creuzvault"""	Other	""	""	false
"""dadamade"" collage with 2 calf shoe insoles bearing stamped copy number and signature"	Paint + pigment	Surface technique	Collage	false
"""genoa"" lace"	Textiles + fiber	Lace	""	false
"""genoa"" or english bobbin guipure lace"	Textiles + fiber	Lace	""	false
"""gothico"" lace"	Textiles + fiber	Lace	""	false
"""gothico"" or genoese bell- point lace"	Textiles + fiber	Lace	""	false
"""gothique"" lace"	Textiles + fiber	Lace	""	false
"""gothique"" needle lace"	Textiles + fiber	Lace	""	false
"""gothique""(reticello and punto in aria) lace"	Textiles + fiber	Lace	""	false
"""gras"""	Other	""	""	false
"""italino"" lace"	Textiles + fiber	Lace	""	false
"""leroux"	Other	""	""	false
"""malino mechlin"" lace"	Textiles + fiber	Lace	""	false
"""milano"" lace"	Textiles + fiber	Lace	""	false
"""mosaic"" piecework"	Other	""	""	false
"""paper"" (cellulose and cotton)"	Paper + parchment	Paper	""	false
"""plush wood"""	Organic	Wood + plant	Wood	false
"""process print"" illustration on arches laid paper"	Paper + parchment	Paper	Laid paper	false
"""process print"" illustration on arches wove paper"	Paper + parchment	Paper	Wove paper	false
"""snake skin"""	Other	""	""	false
"""tibetan"" knot"	Other	""	""	false
"""tortoise shell"""	Organic	Shell + pearl	Tortoise shell	false
"""venezia"" lace"	Textiles + fiber	Lace	""	false
"""veneziana roccoco"" lace"	Textiles + fiber	Lace	""	false
"""veneziana"" bobbin tape guipure lace"	Textiles + fiber	Lace	""	false
"""veneziana"" or genoese tape guipure lace"	Textiles + fiber	Lace	""	false
' brocatelle'	Other	""	""	false
'brocatelle' damask with supplementary weft	Textiles + fiber	Weaving	Supplementary-weft patterning	false
'fleur-de-lis in a circle')	Other	""	""	false
'high crown')	Other	""	""	false
'three circles pierced by an arrow')	Other	""	""	false
(1) pencil on paper (2) photocopy	Ink + drawing	Pencil + graphite	Pencil	false
(16 wood engravings [including duplicate on wrapper front] and 5-page wood-engraved table of plates by georges aubert	Prints	Wood engraving	""	false
(?) watercolor and paint on board	Paint + pigment	Watercolour + wash	Watercolor	false
(a	Other	""	""	false
(a) bisque	Other	""	""	false
(a) coated silk	Textiles + fiber	Silk	""	false
(a) cotton	Textiles + fiber	Cotton	""	false
(a) cotton velvet	Textiles + fiber	Cotton	""	false
(a) lace	Textiles + fiber	Lace	""	false
(a) leather	Organic	Leather + hide	Leather	false
(a) leopard fur	Organic	Hair, fur + feather	Fur	false
(a) linen gauze with supplementary weft patterning	Textiles + fiber	Other woven textiles	Linen	false
(a) marbleized silk organza	Textiles + fiber	Silk	""	false
(a) painted wood and straw	Paint + pigment	Paint	Painted	false
(a) printed	Other	""	""	false
(a) printed and padded cotton twill and cotton fleece with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(a) printed cotton terry	Textiles + fiber	Cotton	""	false
(a) printed synthetic faille	Inorganic	Synthetic	""	false
(a) resist-dyed cotton corduroy with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(a) silk	Textiles + fiber	Silk	""	false
(a) silk chiffon	Textiles + fiber	Silk	Silk chiffon	false
(a) silk crepe	Textiles + fiber	Silk	Silk crepe	false
(a) silk devoré	Textiles + fiber	Silk	""	false
(a) synthetic net	Textiles + fiber	Other woven textiles	Net	false
(a) wool	Textiles + fiber	Wool	""	false
(a) wool and cotton tweed	Textiles + fiber	Cotton	""	false
(a) wool knit	Textiles + fiber	Wool	""	false
(a-b) detergent bottles	Other	""	""	false
(a-d) cotton	Textiles + fiber	Cotton	""	false
(and cotton?	Textiles + fiber	Cotton	""	false
(b) cotton	Textiles + fiber	Cotton	""	false
(b) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(b) cotton plain weave	Textiles + fiber	Cotton	""	false
(b) embossed faux leather	Organic	Leather + hide	Leather	false
(b) leather	Organic	Leather + hide	Leather	false
(b) leopard fur	Organic	Hair, fur + feather	Fur	false
(b) moiré silk	Textiles + fiber	Silk	""	false
(b) muslin	Other	""	""	false
(b) painted cotton with cotton embroidery (running stitches) and cotton chenille	Paint + pigment	Paint	Painted	false
(b) paper	Paper + parchment	Paper	""	false
(b) plastic	Inorganic	Plastic	""	false
(b) rayon	Textiles + fiber	Other woven textiles	Rayon	false
(b) resist-dyed cotton corduroy with cotton embroidery (running stitches)	Textiles + fiber	Embroidery	""	false
(b) resist-dyed cotton with cotton embroidery (satin stitches)	Textiles + fiber	Embroidery	""	false
(b) silk	Textiles + fiber	Silk	""	false
(b) silk velvet	Textiles + fiber	Silk	Silk velvet	false
(b) suede	Organic	Leather + hide	Suede	false
(b) synthetic	Inorganic	Synthetic	""	false
(b) synthetic net	Textiles + fiber	Other woven textiles	Net	false
(b) synthetic plain weave	Inorganic	Synthetic	""	false
(b) wool	Textiles + fiber	Wool	""	false
(b) wool and cotton tweed	Textiles + fiber	Cotton	""	false
(b) wool: twill weave with supplementary warp patterning and palstic buttons	Textiles + fiber	Wool	""	false
(c) cotton	Textiles + fiber	Cotton	""	false
(c) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(c) fulled cotton knit	Textiles + fiber	Cotton	""	false
(c) glitter calf hair	Organic	Hair, fur + feather	Hair	false
(c) leather with leather covered buckle	Organic	Leather + hide	Leather	false
(c) printed cotton fleece	Textiles + fiber	Cotton	""	false
(c) silk	Textiles + fiber	Silk	""	false
(c) silk and acetate	Textiles + fiber	Silk	""	false
(c) suede	Organic	Leather + hide	Suede	false
(c) syntehtic velvet	Textiles + fiber	Other woven textiles	Velvet	false
(c) synthetic	Inorganic	Synthetic	""	false
(c) synthetic net with cotton and metallic thread embroidery (satin stitch)	Textiles + fiber	Yarn + thread	Thread	false
(c) wool	Textiles + fiber	Wool	""	false
(c) wool twill	Textiles + fiber	Wool	""	false
(c-d) astroturf	Other	""	""	false
(cotton lining)	Textiles + fiber	Cotton	""	false
(crows)	Other	""	""	false
(d) cotton	Textiles + fiber	Cotton	""	false
(d) cotton canvas	Textiles + fiber	Cotton	""	false
(d) cotton knit (bouclé)	Textiles + fiber	Cotton	""	false
(d) cotton velvet	Textiles + fiber	Cotton	""	false
(d) fulled cotton knit	Textiles + fiber	Cotton	""	false
(d) plastic	Inorganic	Plastic	""	false
(d) silk velvet	Textiles + fiber	Silk	Silk velvet	false
(d) suede	Organic	Leather + hide	Suede	false
(d) wool	Textiles + fiber	Wool	""	false
(e) cotton	Textiles + fiber	Cotton	""	false
(e) cotton canvas	Textiles + fiber	Cotton	""	false
(e) glass beads	Textiles + fiber	Trimmings	Bead	false
(e) palm leaf soyate	Other	""	""	false
(e) plaited straw	Organic	Wood + plant	Straw	false
(e) plywood	Organic	Wood + plant	Plywood	false
(e) printed cotton	Textiles + fiber	Cotton	""	false
(e) printed nylon	Textiles + fiber	Other woven textiles	Nylon	false
(e) silk	Textiles + fiber	Silk	""	false
(e) spray painted glass	Paint + pigment	Paint	Painted	false
(e) straw	Organic	Wood + plant	Straw	false
(e) wool	Textiles + fiber	Wool	""	false
(etchings in book)	Prints	Etching	""	false
(f) cotton	Textiles + fiber	Cotton	""	false
(f) cotton plain weave	Textiles + fiber	Cotton	""	false
(f) rubber	Other	""	""	false
(f-g) wool	Textiles + fiber	Wool	""	false
(five birds in branches on purple)	Other	""	""	false
(frame design by frank lloyd wright)	Other	""	""	false
(g) cotton plain weave	Textiles + fiber	Cotton	""	false
(g) painted statue	Paint + pigment	Paint	Painted	false
(goat?) hair	Organic	Hair, fur + feather	Hair	false
(h) and (i) knit	Other	""	""	false
(j) and (k) coated cotton plain weave	Textiles + fiber	Cotton	""	false
(l) and (m) brass	Metal	Brass	""	false
(paste?) resist dyeing	Textiles + fiber	Dyeing	""	false
(recto) black chalk with traces of white chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) black chalk with white chalk on blue paper discolored to brown	Ink + drawing	Chalk + crayon	Chalk	false
(recto) blue ballpoint pen	Ink + drawing	Ink	Pen	false
(recto) graphite and black crayon with asphaltum smears and fingerprints with masking tape	Ink + drawing	Chalk + crayon	Crayon	false
(recto) graphite drawing with asphaltum smears	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite on machine-made simulated japanese paper	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite on yellow laid paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite with asphaltum finger prints on japanese paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) graphite with asphaltum finger prints on laid paper with masking tape	Ink + drawing	Pencil + graphite	Graphite	false
(recto) pen and black ink over traces of black chalk with white opaque watercolor on paper	Paint + pigment	Watercolour + wash	Watercolor	false
(recto) pen and brown ink	Ink + drawing	Ink	""	false
(recto) pen and brown ink and brown wash over black chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) pen and brown ink and brown wash over red chalk with black chalk on laid paper	Ink + drawing	Chalk + crayon	Chalk	false
(recto) pen and brown ink and gray wash over traces of graphite on paper	Paint + pigment	Watercolour + wash	Wash	false
(recto) pen and brown ink and gray-brown wash with opaque watercolor over black chalk on paper	Paint + pigment	Watercolour + wash	Watercolor	false
(recto) pen and brown ink and wash on paper	Ink + drawing	Ink	""	false
(recto) pen and brown ink and wash over traces of black chalk on paper	Ink + drawing	Chalk + crayon	Chalk	false
(sea weed printed on green)	""	""	""	true
(turned warp)	Other	""	""	false
(verso) asphaltum and soft ground lift-off	Prints	Etching	Soft-ground etching	false
(verso) black chalk with traces of red chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) black chalk with traces of white chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) black chalk with white chalk	Ink + drawing	Chalk + crayon	Chalk	false
(verso) drawing with soft ground	Ink + drawing	Drawing	""	false
