section	subcategory	specific	tokens	objects
Print	Etching & engraving (intaglio)	Etching	1058	19665
Print	Lithographs (planographic)	Lithograph	1031	15242
Print	Etching & engraving (intaglio)	Engraving	375	12905
Other / unclassified	Other / unclassified	Other / unclassified	4849	11939
Print	Relief prints (woodcut, linocut)	Woodcut	747	9254
Print	Etching & engraving (intaglio)	Mixed / other intaglio	1200	8813
Print	Relief prints (woodcut, linocut)	Wood engraving	217	8271
Textile	Natural fiber (silk, wool, cotton)	Silk	1124	4033
Photograph	Gelatin silver print	Gelatin silver print	170	3756
Print	Etching & engraving (intaglio)	Aquatint	616	3420
Drawing	Ink	Ink (unspecified)	562	2793
Print	Lithographs (planographic)	Offset lithograph	122	2569
Decorative & other materials	Precious metal (gold, silver)	Silver	187	2545
Print	Etching & engraving (intaglio)	Drypoint	220	2501
Drawing	Pencil, chalk & crayon	Graphite / pencil	495	2467
Textile	Woven & worked cloth	Woven & worked cloth	1198	2344
Textile	Natural fiber (silk, wool, cotton)	Wool	312	2281
Textile	Natural fiber (silk, wool, cotton)	Cotton	467	2172
Decorative & other materials	Wood	Wood	315	1977
Ceramic & glass	Glass	Glass (unspecified)	250	1938
Drawing	Ink	Black ink	69	1660
Print	Screenprints & stencils	Screenprint	263	1603
Drawing	Ink	Other ink	659	1499
Photograph	Photograph (unspecified)	Photograph (unspecified)	224	1419
Ceramic & glass	Earthenware & stoneware	Earthenware	99	1273
Painting	Watercolor	Watercolor	153	1238
Textile	Textile technique (weaving, embroidery)	Weaving	317	1196
Painting	Oil	Oil on canvas	44	1060
Textile	Other textile	Other textile	340	1055
Ceramic & glass	Porcelain	Porcelain (unspecified)	80	1019
Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	212	1012
Photograph	Photogravure / photomechanical	Photogravure / photomechanical	158	1005
Print	Other print process	Other print process	174	912
Painting	Other paint	Other paint	361	877
Sculpture	Bronze	Bronze	106	868
Textile	Natural fiber (silk, wool, cotton)	Linen	217	849
Print	Relief prints (woodcut, linocut)	Letterpress & line block	117	843
Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	228	787
Textile	Textile technique (weaving, embroidery)	Embroidery	210	754
Print	Lithographs (planographic)	Mixed / other planographic	46	684
Print	Etching & engraving (intaglio)	Mezzotint	35	619
Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	172	601
Textile	Textile technique (weaving, embroidery)	Knotted pile	46	592
Decorative & other materials	Other material	Other material	256	589
Decorative & other materials	Base metal (bronze, iron, copper)	Brass	75	583
Ceramic & glass	Other ceramic	Ceramic	1	509
Print	Relief prints (woodcut, linocut)	Linocut	84	502
Decorative & other materials	Other material	Stone	1	478
Decorative & other materials	Precious metal (gold, silver)	Gold	219	475
Drawing	Pencil, chalk & crayon	Chalk	245	459
Print	Lithographs (planographic)	Monotype / monoprint	103	453
Ceramic & glass	Earthenware & stoneware	Terracotta	20	442
Textile	Thread & trimmings	Thread & trimmings	122	421
Drawing	Pencil, chalk & crayon	Other dry media	187	404
Textile	Textile technique (weaving, embroidery)	Tapestry	23	403
Textile	Natural fiber (silk, wool, cotton)	Other natural fiber	207	401
Decorative & other materials	Animal material (ivory, bone, leather)	Ivory / tusk	84	397
Decorative & other materials	Other material	Metal	1	393
Decorative & other materials	Base metal (bronze, iron, copper)	Iron	37	360
Decorative & other materials	Animal material (ivory, bone, leather)	Shell	96	351
Photograph	Chromogenic / C print	Chromogenic / C print	47	344
Ceramic & glass	Porcelain	Soft-paste porcelain	3	339
Textile	Natural fiber (silk, wool, cotton)	Camelid / alpaca	23	312
Painting	Acrylic	Acrylic	102	309
Drawing	Pencil, chalk & crayon	Crayon	96	308
Ceramic & glass	Porcelain	Hard-paste porcelain	4	306
Print	Relief prints (woodcut, linocut)	Relief etching	27	299
Drawing	Pencil, chalk & crayon	Pastel	71	292
Sculpture	Plaster	Plaster	12	283
Decorative & other materials	Base metal (bronze, iron, copper)	Copper	67	280
Ceramic & glass	Other ceramic	Other ceramic	80	268
