facet_group	level	parent	label	is_public	occurrences	member_terms
Material	parent		Ink	true	7009	119
Material	parent		Paint	true	6675	78
Material	parent		Pencil, chalk & crayon	true	4358	10
Material	parent		Metal	true	3187	175
Material	parent		Textile	true	3142	34
Material	parent		Wood	true	2564	151
Material	parent		Paper	true	2509	185
Material	parent		Silk	true	2451	138
Material	parent		Ceramic	true	2267	32
Material	parent		Wool	true	2035	117
Material	parent		Cotton	true	1895	105
Material	parent		Gold & silver	true	1592	51
Material	parent		Glass	true	1461	21
Material	parent		Porcelain	true	1297	32
Material	parent		Trimmings	true	1181	11
Material	parent		Pigment	true	991	5
Material	parent		Leather	true	793	129
Material	parent		Lace	true	675	5
Material	parent		Stone	true	658	98
Material	parent		Yarn & thread	true	532	7
Material	parent		Ivory	true	501	11
Material	parent		Charcoal	true	440	1
Material	parent		Plastic	true	437	5
Material	parent		Shell	true	358	5
Material	parent		Camelid fiber	true	263	1
Material	parent		Fiber	true	193	1
Material	parent		Marble	true	170	13
Material	parent		Enamel	true	146	1
Material	parent		Feather	true	141	1
Material	parent		Lacquer	true	129	2
Material	parent		Bamboo	true	111	1
Material	parent		Bone	true	97	1
Material	parent		Dyeing	true	88	1
Material	parent		Raffia	true	85	1
Material	parent		Tortoise shell	true	72	1
Material	parent		Straw	true	71	1
Material	parent		Hardboard	true	67	1
Material	parent		Sheep's wool or camelid hair	true	65	1
Material	parent		Vellum	true	61	1
Material	parent		Parchment	true	60	1
Material	parent		Ostrich feather	true	59	1
Material	parent		Rattan	true	53	1
Material	parent		Fur	true	53	1
Material	parent		Hair	true	42	1
Material	parent		Hide	true	42	1
Material	parent		Horn	true	37	1
Material	parent		Bast fiber	true	37	1
Material	parent		Plywood	true	36	1
Material	parent		Baleen	true	36	1
Material	parent		Camelid hair	true	35	1
Material	parent		Goat hair	true	30	1
Material	parent		Horsehair	true	29	1
Material	parent		Artificial flower	true	28	1
Material	parent		Sinew	true	28	1
Material	parent		Woven rattan	true	26	1
Material	parent		Coconut shell	true	24	1
Material	parent		Gut	true	23	1
Material	parent		Human hair	true	22	1
Material	parent		Bark	true	21	1
Material	parent		Cork	true	21	1
Material	parent		Other material	false	914	14
Material	parent		Mica	false	71	1
Material	parent		Wax	false	47	1
Material	specific	Ceramic	earthenware	true	834	1
Material	specific	Ceramic	ceramic	true	496	1
Material	specific	Ceramic	terracotta	true	423	1
Material	specific	Ceramic	faience	true	166	1
Material	specific	Ceramic	clay	true	79	1
Material	specific	Ceramic	asian ceramic	true	72	1
Material	specific	Ceramic	glazed earthenware	true	71	1
Material	specific	Ceramic	tin-glazed earthenware	true	54	1
Material	specific	Ceramic	glazed ceramic	true	23	1
Material	specific	Cotton	cotton	true	1658	1
Material	specific	Cotton	white cotton	true	34	1
Material	specific	Glass	glas	true	1181	1
Material	specific	Glass	rhinestone	true	77	1
Material	specific	Glass	pressed lead glas	true	63	1
Material	specific	Glass	free-blown glas	true	48	1
Material	specific	Glass	blown glas	true	42	1
Material	specific	Gold & silver	silver	true	998	1
Material	specific	Gold & silver	gold	true	336	1
Material	specific	Gold & silver	gold leaf	true	89	1
Material	specific	Gold & silver	silver gilt	true	85	1
Material	specific	Ink	ink	true	2359	1
Material	specific	Ink	black ink	true	2190	1
Material	specific	Ink	pen	true	1329	1
Material	specific	Ink	brown ink	true	497	1
Material	specific	Ink	blue ink	true	76	1
Material	specific	Ink	sumi ink	true	62	1
Material	specific	Ink	india ink	true	61	1
Material	specific	Ink	double-sided ink	true	58	1
Material	specific	Ink	sepia ink	true	54	1
Material	specific	Ink	red ink	true	46	1
Material	specific	Ink	ink wash	true	45	1
Material	specific	Ink	tones brown ink	true	23	1
Material	specific	Ivory	ivory	true	391	1
Material	specific	Ivory	walrus ivory	true	75	1
Material	specific	Lace	lace	true	486	1
Material	specific	Lace	point de gaze	true	58	1
Material	specific	Lace	bobbin lace	true	51	1
Material	specific	Lace	chantilly lace	true	43	1
Material	specific	Lace	valenciennes lace	true	37	1
Material	specific	Lacquer	japanese lacquer with mother-of-pearl	true	96	1
Material	specific	Lacquer	lacquer	true	33	1
Material	specific	Leather	leather	true	422	1
Material	specific	Leather	suede	true	90	1
Material	specific	Leather	kid leather	true	85	1
Material	specific	Marble	marble	true	115	1
Material	specific	Marble	marble base	true	35	1
Material	specific	Metal	metal	true	559	1
Material	specific	Metal	bronze	true	523	1
Material	specific	Metal	bras	true	282	1
Material	specific	Metal	zinc	true	235	1
Material	specific	Metal	copper	true	163	1
Material	specific	Metal	type metal	true	160	1
Material	specific	Metal	sterling silver	true	142	1
Material	specific	Metal	steel	true	84	1
Material	specific	Metal	iron	true	83	1
Material	specific	Metal	bronze medal	true	82	1
Material	specific	Metal	wire	true	62	1
Material	specific	Metal	metal ring	true	60	1
Material	specific	Metal	pewter	true	59	1
Material	specific	Metal	gilt bronze	true	49	1
Material	specific	Metal	brass ring	true	40	1
Material	specific	Metal	copper alloy	true	39	1
Material	specific	Metal	gilt metal	true	38	1
Material	specific	Metal	plate	true	38	1
Material	specific	Metal	wrought iron	true	36	1
Material	specific	Metal	resin-coated aluminum	true	33	1
Material	specific	Metal	steel wool burnishing	true	30	1
Material	specific	Metal	copper plate	true	22	1
Material	specific	Metal	lead	true	20	1
Material	specific	Metal	applied gold leaf	true	20	1
Material	specific	Paint	watercolor	true	1694	1
Material	specific	Paint	oil	true	1545	1
Material	specific	Paint	opaque watercolor	true	1144	1
