facet_value	facet	total_occurrences	member_terms	category_source	category_aat_id	members
ink	material	7009	119	AAT	300015012	acrylic ink | additions in black ink | back ink | ballpoint pen ink | blach ink | black ball point ink | black chalk under black ink | black chalk under brown ink | black chalk under ink | black chalk under pen & brown ink | black india ink | black ink | black magic marker ink | black/gray ink | blue ink | blue-black ink | box: ink | brown ink | brown- black ink | brown-black ink | brown-gray ink | brown-grey ink | certificate: ink | charbonnel noir crayon ink | china ink | chinese ink | collage: colored ink | collage: ink | colore ink | commercial ink | corrections in ink | dark brown ink | dark-blue ink | daylight flourescent ink | deep grey ink | diluted ink | double-sided ink | drawn by dark ink | embossed image without ink | facsimile ink | framing lines in brown ink | gesso china ink | gold ink | gold metallic ink | graphic chemical 514 bone black ink | graphite under brown ink | graphite under ink | gray ink | gray- brown ink | gray-black ink | gray-blue ink | gray-brown ink | gray-green ink | green ink | grey ink | heavy white wove paper v: black ink | india ink | indian ink | ink | ink wash | intaglio ink | iron gall ink | kremer ink | laid in are a letter from nicolas de stael written in blue ink | light blue ink | light orange ink | metalic ink | metallic ink | metallic silver ink | mixed media collage - ink | ochred ink | oil based ink | orange ink | orange-red ink | pale green ink | pen | pen & ink | pen two tones brown ink | pen two tones ink | pencil ink | photo-engavings in black ink | photocopy ink | pink ink | ppen ink | purple ink | r: black ink | r: blue ink | red ballpoint ink | red felt tip ink | red ink | red rubber stamp ink | red-brown ink | reddish brown ink | right arm in grey ink | sanquine under brown ink | scattered images in black ink | sephia ink | sepia | sepia ink | silkscreen ink | silver ink | silver/gold ink | sleeve: ink | sumi black ink | sumi ink | thirty-nine ink | tones brown ink | tones ink | ultrachrome archival ink | umber ink | unique book containing 58 double-sided ink | various ink | violet ink | white ink | white shellac ink | windsor newton ink | wove paper v: black ink | yellow ink | yellow-green ink
paint	material	6675	78	AAT	300015029	acrylic | acrylic paint | acrylic resin gouache | acrylic spray paint | alkyd paint | aluminum paint | and under gouache | applied gold paint | automotive paint | black enamel paint | black paint | blue paint | bronze metallic paint | bronze paint | brown paint | brown wash | brush-applied white paint | commercial tempera powder paint | copper metallic paint | dipped in colored synthetic polymer paint | dye or paint | egg tempera | enamel paint | flourescent paint | gesso | glue-size paint | gold metallic paint | gold paint | golden acrylic paint | gouache | graphite under gouache | gray gouache | gray gouache ground | gray wash | hand paint | hand painted | hand painting in sennelier tempera | house paint | japon after gouache | latex paint | leather? paint | magna | metalic paint | metallic paint | oil | oil based paint | oil paint | opaque watercolor | orange fluorescent paint | over gouache | overglaze painting | paint | painted | paper cover/dust jacket has hand painting in tempera | parle's paint | powder paint | red gouache | red paint | silver metallic paint | silver paint | spray paint | synthetic polymer paint | tempera | tempera paint | transparent watercolor | utrecht new tempera | vinyl paint | wash | watercolor | watercolor wash | watercolorand metallic paint | white acrylic paint | white enamel paint | white gouache | white opaque paint | white opaque watercolor | white paint | yellow paint
drawing material	material	4358	10	LLM-coined		black chalk | black crayon | blue pencil | chalk | crayon | graphite | pastel | pencil | red chalk | white chalk
metal	material	3187	175	AAT	300010900	a) steel | aluminum foil | applied bronze | applied gilded silver foil | applied gilt silver foil | applied gold leaf | applied gold metal | applied metal | applied silver foil | applied silver gilt foil | applied silver leaf | appliquéd tinned steel | base metal | base plate | bast fiber - pandanus leaf | beryllium copper | black lead | black metal | blued steel | bras | brass or copper | brass plate | brass powder | brass ring | bronze | bronze medal | bullion | cast iron | chain metal | chrome plated steel | chrome-plated brass or bronze | cobalt | coconut leaf | coin silver | color plate | copper | copper alloy | copper alloy metal | copper foil | copper leaf | copper plate | cor-ten steel | cut steel | electroplated copper | electroplated foil | enameled metal | enamelled bronze | enamelled metal | engraved copper | engraved steel | etched steel | fire gilt bronze | foil | folded copper foil | forged steel | found metal | found steel | found tin | frame: metal | full page plate | galvanized steel | gilded bronze | gilded copper alloy | gilded metal | gilded steel | gilt bronze | gilt copper | gilt iron | gilt metal | gilt silver foil | glitter foil | gold alloy foil | gold bronze | gold foil | gold metal | gold plate | gold tone tin | gold-plated copper foil | gold-tone metal | gun metal | hammered copper | inch hot rolled steel plate | incised bronze | including 6 plate | iron | iron alloy | iron alloy metal | iron plate | kandinsky design in gold leaf | karat gold plated metal | laser cut steel | lead | leaf | made from lucite plate | metal | metal - iron | metal - iron alloy | metal alloy | metal foil | metal leaf | metal plate | metal ring | metal- iron alloy | metallic foil | mirror plate | nickel | nickel plated bronze | numerous plate | original color images from zinc plate | ormolu | painted lead | painted metal | painted steel | palladium | pandanus leaf | papier mache?? or gilt metal | patinated bronze | perforated zinc plate | pewter | plate | plate mark from an uninked plate | pleated copper foil | pleated synthetic plain weave pin: enameled copper metal alloy | polyester metal | pressed lead | resin-coated aluminum | rose gold | sago leaf | semi-gilt metal | separate plate | sheet iron | sheet steel | sheffield plate | silk satin metal | silver alloy | silver alloy metal | silver foil | silver leaf | silver metal | silver plate | silver plated metal | silver-plated copper | silver-plated copper alloy | silvered bronze | silvered copper alloy | soldered copper | sprinkled gold leaf | stainless steel | stainless steel foil | stamped foil | stamped plated zinc alloy | steel | steel plate | steel wool burnishing | sterling silver | synthetic metal foil | thirty-six copper | tin | tin leaf | tin plated iron alloy | tint plate | to 2 plate | toned plate | type metal | used plate | welded found steel | welded steel | white gold leaf | white metal | wire | wrought copper | wrought iron | wrought metal | zinc | zinc plate
textile fibre	material	3142	34	LLM-coined		barkcloth | batiste | chiffon | cloth | complex weave | compound weave | discontinuous supplementary-weft patterning | embroidered linen | fabric | felt | gauze | knitting | linen | net | nylon | polyester | rayon | satin | silk brocade | silk chiffon | silk crepe | silk gros de tour | silk lining | silk net | silk satin | silk taffeta | silk tulle | silk velvet | taffeta | tapa cloth | tulle | velvet | white linen | wool felt
wood	material	2564	151	AAT	300011914	a) wood | acrylic panel | alder | alder wood | algarroba wood | alstonia wood | and wood | b) wood | balsa | balsa wood | beech | bent wood | birch wood | black palm wood | black walnut | bloodwood | blue from walnut | boxwood | brier wood | burr wood | camphor wood | cedar | cedar wood | charred wood | cherry | cherry wood | coconut wood | composed wood | cottonwood | cottonwood or willow | curly maple | cyprus pine | darkened wood | ebonized cherry | ebonized fruitwood | ebony | ebony wood | elm | encrusted wood | english japanned oak | eroded wood | fiddleback maple | flexible wood | found wood | fruit wood | fruitwood | gilded beech | gilded walnut | gilded wood | gilt walnut | gilt wood | gold-stamped small pictorial panel | hammer) wood | hardwood | hawthorn | hawthorn wood | heavy wood | hickory | incised wood | iroko wood | iron wood | ironwood | ivory calf inlay trapezoidal panel | japanese lacquer panel | japanned wood | joined walnut | kingwood | kiri wood | koa | koa wood | kou wood | lacquered wood | laminated mahogany | laminated rosewood | laminated to wood panel | laminated wood | laurel | linden | linden wood | mahogany | maple | maple burl | mediterranean pine panel | metal b) wood | oak | olive wood | painted maple | painted oak | painted panel | painted plywood panel | painted walnut | painted wood | palm wood | paper in custom mahogany | paper-covered wood | patinated wood | pear | pernambuco wood | pigmented wood | pine | pine poplar | pine wood | plaited grass or willow | plush wood | plywood panel | polychrome decorated wood | polychrome pine | polychrome wood | polychromed linden wood | polychromed pine | polychromed walnut | polychromed wood | poplar | possibly beech | pressed wood | purple heart wood | purpleheart | red stained cherry wood | red stained gumwood | redwood | resin-coated aluminum panel | rose wood | rosewood | satinwood | several wood | shaped wood | sitka spruce | soft wood | spruce | sycamore | sycamore wood | teak | tulipwood | turned mahogany | various wood | virginia walnut | walnut | walnut burl | walnut wood | weathered wood | west african wood | white pine | white wood | willow | willow and/or cottonwood | wood | wood - walnut | wood ironwood | wood panel | yellow cedar | yellow poplar
paper	material	2509	185	AAT	300014109	300-gram arches watercolor paper | acrylic painted paper | affixed to wood pulp cardboard | all-cotton curtis ruysdael paper | all-cottoncurtis ruysdael paper | aluminum paper | andrews nelson whitehead watercolor paper | arches satine heavyweight paper | arches satine paper | arches satiné paper | arches silkscreen roll paper | arches watercolor paper | archival watercolor paper | beeswax coated hosho paper | black ink wrapped in white paper | blue paper | bristol board | brown washed paper | burned silver gelatin paper | canson charcoal paper | canvas board | card stock | cardboard | cartridge paper | charcoal gray paper | china paper | clamshell box covered in grey/brown paper | clay-coated cream wove paper | coated paper | complex weave: painted paper | construction paper | copperplate deluxe paper | corrugated cardboard | cotton paper | cover: marbled paper | dieu donné handmade cotton paper | english vellum graph paper | fabriano classico glazed-finish watercolor paper | fabriano classico watercolor paper | flocote enamel paper | foil covered cardboard | gampi silk tissue paper | german copperplate paper | glassine | glazed paper | gold foil paper | gold gilt paper | gold leaf paper | gold metallic paper | gold paint paper | gold paper | gold tone paper | goldenrod paper | gram somerset satin enhanced paper | graph paper | gray maniai gampi clay-coated handmade paper | gray-brown strathmore charcoal paper | hahnemule watercolor paper | hand clay-coated paper | hand painted paper | hand-painted paper | handmade hemp paper | handmade linen rag paper | handmade paper | handmade royal watercolor paper | heavy cream watercolor arches paper | heavyweight stonehenge paper | hemp fiberand linen paper | ilford galerie prestige smooth gloss inkjet paper | illustration board | inkon orange wove paper | ivory arches laid paper | ivory arches wove paper | ivory decorated paper | ivory handmade paper | ivory laid holland van gelder paper | ivory laid paper | ivory montval laid paper | ivory montval paper | ivory paper | ivory wove arches paper | ivory wove lafuma paper | ivory wove rives bfk paper | japan paper | japan vellum paper | japanese vellum | japanese vellum paper | joined gold paper | kawanaka japanese vellum paper | kozo paper | lacquered paper | lafuma de voiron wove paper | laid paper | lb. white vicksburg vellum paper | lead based prepared ground applied to wove paper | leather shoe wrapped in tissue paper | light pink mingei momo paper | linen - finish paper | linen pulp paper | machine-made vellum-type paper | machine-madevellum-type paper | marbled paper | mat board | metallic paper | montgolfier annonay linen paper | mulberry paper | multi colored marbled paper | museo silver rag paper | museum board | newsprint | oilstickon paper | opaque watercolor.on paper | original glassine | painted cardboard | painted paper | pale blue tinted paper | paperboard | parchment paper | passantino brands staff paper | pastel.on paper | pearl dust fabriano classico glazed-finish watercolor paper | photocopy paper | photographic paper | pink - gray paper | pink fluorescent paper | pink paper | pink tinted paper | pink tissue paper | pink wove paper | pith paper | plastic coated paper | prepared paper | printed paper | protective boards covered in marbled paper | rag paper | rayon paper | revere felt paper | rising stonehenge paper | rives bfk | rubber stampson light gray wove paper | salted paper | scored silver paper | scratched silver gelatin paper | shellac-stained paper | silk backed xuan zhi paper | silk mounted to paper | silk or paper | silver foil paper | silver gelatin paper | silver gilt mulberry paper | silver paper | silver-gray ingres antique laid paper | silver-leaf paper | silverbrook antique finish paper | silvered acetate adhered to paper | slip case boards are covered in marbled paper | slipcase covered in matching ivory paper | somerset satin enhanced paper | somerset satin heavyweight paper | somerset satin paper | somerset satin white paper | somerset statin paper | somerset velvet 280 lbs paper | somerset velvet black paper | somerset velvet enhanced paper | somerset velvet paper | stained tan parchmented paper | stonehendge paper | stonehenge cream paper | stonehenge paper | synthetic paper | textured watercolor paper | textured writing paper | tissue paper | tracing paper | transfer paper | washi paper | white 80 lb. vicksburg vellum test paper | white stonehenge paper | white wove douglass howell handmade paper | wood - grain veneer paper | wood-grain veneer paper | wove paper | wrapping paper | writing paper
silk	material	2451	138	AAT	300014072	a) cotton b) rayon c) silk | a-b)pink silk | appliquéd silk | b&c)black wool e) silk | beige netted silk | beige silk | beige-brown-rust-green silk | black & beige silk | black embossed silk | black silk | black striped silk | black velvet silk | black-dyed silk | black/white/blue polka dot silk | blue metallic silk | blue silk | brocaded changeable silk | brocaded silk | brown plaid silk | brown silk | burgundy silk | china silk | chirimen silk | coat: silk | coated silk | cocoon silk | contemporary silk | corded silk | cotton and/or silk | cotton or silk | cotton. silk | couched metal-wrapped silk | cream china silk | cream corded silk | cream silk | cream/brown striped silk | crocheted silk | dark yellow silk | dress: silk | ecru silk | eggplant silk | embroidered ivory silk | embroidered silk | embroidered white silk | emerald green silk | enameled metal logo skirt: silk | face: silk | figured silk | floral brocaded silk | floss silk | gold colored silk | gold silk | gold thread silk | green/red blue floral silk | grey silk | gunma silk | hand painted silk | handspun silk | ice blue silk | ivory corded silk | ivory silk | jacket: silk | knit silk | knitted peach silk | knitted silk | knotted silk | lavender silk | lined in red silk | machine woven silk | maroon woven stripe silk | mauve a) tweed b) silk | metal china silk | metal foil–wrapped silk | metal silk | metal wrapped silk | metal-wrapped silk | metallic brocaded silk | moire silk | moiré silk | native silk | navy chiffon silk | navy silk | navy woven silk | nylon silk | olive drab silk | olive green linen-weave silk | olive-green silk | openwork silk | orange silk | orange-red silk | padded silk | painted silk | pale green silk | parsi silk | patterned silk | pink silk | plain weave silk | pleated silk | polychrome embroidered silk | polychrome floral silk | polychrome silk | polychrome striped silk | purple silk | quilted silk | red & white silk | red silk | red slub silk | satin finished silk | sequin embroidered silk | shibori-dyed pleated silk | shot blue/brown silk | shot silk | silk | silk brocaded silk | silk brocaded w/ silk | silk silk | silver brocaded silk | silver thread brocaded silk | slub silk | striated silk | supplementary silk | synthetic silk | tabby silk | taffeta silk | tan silk | tea-rose silk | thai silk | turquoise figured silk | valenciennes lace - silk | wedding dress: silk | white brocaded silk | white doublecloth silk matelasse . silk | white ecru silk | white polka dot silk | white silk | yellow a & b) slub silk | yellow changeable silk | yellow silk
ceramic	material	2267	32	AAT	300235507	asian ceramic | biscuit | black ceramic | blue glazed ceramic | burnished black ceramic | ceramic | clay | earthenware | earthenware ceramic | enamel or ceramic | faience | fired ceramic | glass or glazed ceramic | glazed ceramic | glazed earthenware | hollow ceramic | incised ceramic | lowfire ceramic | matte glazed ceramic | mold made ceramic | moldmade ceramic | orangeware ceramic | painted ceramic | partially glazed ceramic | polychrome ceramic | red ceramic | salt-glazed ceramic | slip painted ceramic | terracotta | tin-glazed earthenware | white ceramic | white glazed ceramic
wool	material	2035	117	AAT	300014074	a) wool | alpaca | alpaca wool | angora wool | appliqued wool | aubusson wool | black cashmere | black chalk stripe wool | black pinstripe wool | black plaid wool | black stretch wool | black wool | blue plaid wool | blue wool | blue/gray wool | bright orange wool | brocaded wool | brown houndstooth wool | brown pinstripe wool | brown wool | burgundy wool | camel wool | camelid hair or sheep's wool | cashmere | cashmere & wool | cashmere wool | charcoal cashmere | charcoal wool | coil weave alpaca | commercial wool | cotton wool | cream cashmere wool | cream wool | crocheted wool | dark gray wool | dark green wool | dark grey pinstripe wool | dark heather green wool | double-faced wool | dyed wool | ecru wool | embroidered wool | fulled wool | glazed worsted wool | goat wool | gold tweed wool | grain de poudre wool | gray wool | green boiled wool | green boucle wool | green brushed plaid wool | green wool | green/beige plaid wool | green/olive/purple mixed wool | grey cashmere | grey pinstripe wool | grey wool | grey wool or cashmere | hand dyed wool | hand-knit wool | handspun wool | heather green wool | ivory knitted wool | ivory wool | knit cashmere | knit mohair | knitted alpaca | knitted wool | lamb's wool | linen or wool | loom-knitted wool | lt. brown wool | machine embroidered wool | magenta cashmere | maroon wool | mohair | mountain goat wool | mulit-colored wool | navy blue wool | navy pinstripe wool | navy wool | olive green wool | orange red wool | orange wool | pale blue grey wool | persian lamb wool | pieced felted wool | pile woven alpaca | plaid double face wool | plaid tartan wool | plaid wool | plain wool | polychrome tissue wool | polychrome wool | purple wool | raspberry angora wool | red & yellow plaid wool | red wool | red-white-blue plaid wool | satin-faced wool | sheep's wool | silk & cashmere | silk cashmere | single face cashmere | smocked felted wool | solid double-knit wool | synthetic cashmere | thigh-spun merino | thin white wool | trade wool | turquoise cashmere | two-ply wool | white houndstooth wool | white wool | wool | worsted wool | woven alpaca
