canonical	facet	parent_category	parent_source	provenance	confidence	aat_id	llm_note
"""pismo'"	material	(unrolled)	self	self	unrolled		
' brocatelle'	material	(unrolled)	self	self	unrolled		
'barbotine' enamel	material	(unrolled)	self	self	unrolled	300014910	
'brocatelle' damask	material	(unrolled)	self	self	unrolled	300163295	
'enea'	material	(unrolled)	self	self	unrolled		
(and cotton?	material	(unrolled)	self	self	unrolled		
12 inch vinyl record	material	(unrolled)	self	self	unrolled		
17th-century blanc de chine porcelain figure	material	(unrolled)	self	self	unrolled		
1watercolor	material	(unrolled)	self	self	unrolled		
2)	material	(unrolled)	self	self	unrolled		
2/2 twill	material	(unrolled)	self	self	unrolled	300227915	
20-page book	material	(unrolled)	self	self	unrolled		
2:1 twill	material	(unrolled)	self	self	unrolled	300227915	
2:1 twill ground	material	(unrolled)	self	self	unrolled	300015297	
2:1 twill lampa	material	(unrolled)	self	self	unrolled		
2:1 warp-faced lampas damask	material	(unrolled)	self	self	unrolled	300163295	
35mm film	material	(unrolled)	self	self	unrolled	300014637	
3:1 twill lampa	material	(unrolled)	self	self	unrolled		
4:1 satin lampa	material	(unrolled)	self	self	unrolled		
500gsm somerset satin	material	(unrolled)	self	self	unrolled	300132902	
6th plate daguerrotype in cloth covered case	material	(unrolled)	self	self	unrolled		
8-ply silk crepe	material	(unrolled)	self	self	unrolled	300183741	
[cotton?]	material	(unrolled)	self	self	unrolled		
a	material	(unrolled)	self	self	unrolled		
a&b) black wool c) white pique	material	(unrolled)	self	self	unrolled		
a&b) wool gauze	material	(unrolled)	self	self	unrolled	300014083	
a)	material	(unrolled)	self	self	unrolled		
a) gold tray	material	(unrolled)	self	self	unrolled		
a) opaque watercolor	material	(unrolled)	self	self	unrolled		
a) red crayon	material	(unrolled)	self	self	unrolled		
a) silk surah b) cord	material	(unrolled)	self	self	unrolled	300014247	
a) tulle	material	(unrolled)	self	self	unrolled	300256611	
a) wool double knit	material	(unrolled)	self	self	unrolled		
a)black silk slipper satin	material	(unrolled)	self	self	unrolled	300132902	
a)olive corduroy b) olive wool knit	material	(unrolled)	self	self	unrolled		
a)plum paisley mousseline b)plum plaid poly jersey	material	(unrolled)	self	self	unrolled	300417884	
a)white beaded linen b) linen	material	(unrolled)	self	self	unrolled	300014069	
a. t. tissue	material	(unrolled)	self	self	unrolled		
a.t. tissue	material	(unrolled)	self	self	unrolled		
abaca	material	(unrolled)	self	self	unrolled		
abaca fiber	material	(unrolled)	self	self	unrolled		
abalone	material	(unrolled)	self	self	unrolled		
abalone button	material	(unrolled)	self	self	unrolled		
abalone inlay	material	(unrolled)	self	self	unrolled	300053850	
abalone shell	material	(unrolled)	self	self	unrolled	300011833	
abalone shells white trade bead	material	(unrolled)	self	self	unrolled	300261776	
abolone	material	(unrolled)	self	self	unrolled		
abraded	material	(unrolled)	self	self	unrolled		
abru	material	(unrolled)	self	self	unrolled		
accessory object	material	(unrolled)	self	self	unrolled		
accordian pleated gold lame	material	(unrolled)	self	self	unrolled		
acetate blend satin weave	material	(unrolled)	self	self	unrolled		
acetate complex weave	material	(unrolled)	self	self	unrolled		
acetate faille	material	(unrolled)	self	self	unrolled	300249448	
acetate lining	material	(unrolled)	self	self	unrolled	300162124	
acetate reproduction	material	(unrolled)	self	self	unrolled	300404313	
acetate ribbon	material	(unrolled)	self	self	unrolled	300014668	
acetate satin	material	(unrolled)	self	self	unrolled	300132902	
acetate satin ribbon	material	(unrolled)	self	self	unrolled	300014668	
acquatint	material	(unrolled)	self	self	unrolled		
acrylic blend knit	material	(unrolled)	self	self	unrolled		
acrylic cord	material	(unrolled)	self	self	unrolled	300014247	
acrylic crochet	material	(unrolled)	self	self	unrolled	300264038	
acrylic gloss varnish	material	(unrolled)	self	self	unrolled	300014974	
acrylic medium	material	(unrolled)	self	self	unrolled	300265461	
acrylic mounted in special plexi box	material	(unrolled)	self	self	unrolled		
acrylic paint addition	material	(unrolled)	self	self	unrolled		
acrylic paint mounted	material	(unrolled)	self	self	unrolled		
acrylic paint mounted to board	material	(unrolled)	self	self	unrolled		
acrylic plastic	material	(unrolled)	self	self	unrolled	300014570	
acrylic polymer	material	(unrolled)	self	self	unrolled		
acrylic sheet	material	(unrolled)	self	self	unrolled	300419474	
acrylic toner transfer	material	(unrolled)	self	self	unrolled	300417644	
acrylic yarn	material	(unrolled)	self	self	unrolled	300014252	
