token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
etching	21523	technique	rule	etching				
engraving	13728	technique	rule	engraving				
lithograph	8890	technique	rule	lithograph				
wood engraving	7066	technique	rule	wood engraving				
paper	5682	support	rule	paper				
color lithograph	3850	technique	rule	lithograph				
color woodcut	3504	technique	rule	woodcut				
drypoint	3500	technique	rule	drypoint				
aquatint	3373	technique	rule	aquatint				
woodcut	3239	technique	rule	woodcut				
ink	2318	material	aat	ink	300015012			
graphite	2208	material	rule	graphite				
silk	2203	material	rule	silk				
hand coloring	2194	technique	rule	hand coloring				
black ink	2181	material	rule	black ink				
gelatin silver print	1933	technique	rule	gelatin silver				
wool	1777	material	rule	wool				
book	1777	not_medium	llm	book		book paper	0.7	object-type descriptor
watercolor	1684	material	rule	watercolor				
wood	1662	material	rule	wood				
cotton	1657	material	rule	cotton				
oil	1545	material	rule	oil				
mezzotint	1493	technique	rule	mezzotint				
pen	1327	material	rule	pen				
glass	1180	material	rule	glas				
opaque watercolor	1143	material	rule	opaque watercolor				
canvas	1141	support	rule	canva				
color aquatint	1087	technique	rule	aquatint				
black	1032	colour	llm	black		blue black	0.84	
silver	998	material	rule	silver				
color screenprint	887	technique	rule	screenprint				
earthenware	834	material	rule	earthenware				
color offset lithograph poster	823	technique	rule	offset lithograph				
embroidery	818	technique	rule	embroidery				
color etching	746	technique	rule	etching				
linen	726	material	rule	linen				
albumen silver print	654	technique	rule	albumen silver				
porcelain	618	material	rule	porcelain				
pigment	614	material	variant	pigment	300013109	pigment	1.0	
arches wove paper	604	support	rule	arches wove paper				
spit bite aquatint	598	technique	rule	spit bite aquatint				
stipple engraving	583	technique	rule	stipple engraving				
soft ground etching	582	technique	rule	soft ground etching				
letterpress	558	technique	rule	letterpres				
metal	557	material	variant	metal	300010900	metal	1.0	
knotted pile	544	technique	llm	knotted pile		knotted	0.783	rug/textile knotting technique
color lithograph poster	542	technique	rule	lithograph				
offset lithograph	537	technique	rule	offset lithograph				
rives bfk paper	526	support	rule	rives bfk paper				
bronze	523	material	rule	bronze				
ceramic	495	material	rule	ceramic				
white offset lithograph comics	495	technique	rule	white offset lithograph				
color offset lithograph cover	495	technique	rule	offset lithograph				
brown ink	487	material	rule	brown ink				
lace	486	material	llm	lace		lacework	0.88	textile material/fabric
line block	477	technique	rule	line block				
chine collé	457	support	rule	chine collé				
color wood engraving	449	technique	rule	wood engraving				
charcoal	440	material	rule	charcoal				
paint	431	material	rule	paint				
pastel	428	material	rule	pastel				
terracotta	423	material	rule	terracotta				
leather	420	material	aat	leather	300011845			
etchings	411	technique	rule	etching				
beads	405	material	llm	bead		beadweaving	0.635	
ivory	391	material	rule	ivory				
photo	387	technique	llm	photograph		photographic	0.682	abbreviated form of photograph
plain weave	384	technique	llm	plain weave		plain weave (textile)	0.902	fundamental weave structure; hint facet wrong
wove paper	378	material	aat	wove paper	300014187			
offset lithograph print	366	technique	rule	offset lithograph				
screenprint	362	technique	rule	screenprint				
tracing paper	359	material	aat	tracing paper	300014161			
hard ground etching	343	technique	rule	hard ground etching				
gold	335	material	aat	gold	300404934			
colored pencil	324	material	rule	pencil				
photograph	311	technique	llm	photograph		photographic	0.791	photographic process
etching/drypoint	310	technique	rule	etching/drypoint				
acrylic	305	material	rule	acrylic				
black chalk	298	material	aat	black chalk	300080058			
soft-paste porcelain	295	material	rule	soft-paste porcelain				
arches paper	293	support	rule	arches paper				
velvet	290	material	rule	velvet				
linocut	289	technique	rule	linocut				
guards	287	not_medium	llm	guard		restrainer	0.535	bookbinding structural element; not a medium
drawing	284	technique	rule	drawing				
brass	282	material	rule	bras				
satin	281	material	aat	satin	300132902			
illustration	281	not_medium	llm	illustration		extra-illustration	0.788	bibliographic/content descriptor
stone	279	material	rule	stone				
laid paper	276	material	aat	laid paper	300014184			
portfolio	274	not_medium	llm	portfolio		stock, card	0.534	object-type/container descriptor
embossing	271	technique	llm	embossing		embossing (technique)	0.949	
gillotage	268	technique	llm	gillotage		fishscale shingle	0.536	photomechanical relief process invented by Gillot
pochoir	266	technique	rule	pochoir				
silver gelatin print	265	technique	rule	silver gelatin				
wood panel	264	material	aat	wood panel	300014657			
hard-paste porcelain	264	material	rule	hard-paste porcelain				
camelid fiber	263	material	variant	camelid fiber	300411647	camelid fiber	1.0	
deckle edges	254	not_medium	llm	deckle edge		decoration, edge	0.574	physical condition/paper edge descriptor
torn	246	technique	variant	torn	300252881	torn	1.0	
collage	246	technique	llm	collage		collage (technique)	0.748	
chine colle	238	support	rule	chine colle				
japanese paper	237	support	rule	japanese paper				
burin	236	technique	llm	burin		bur	0.625	engraving tool used as a technique descriptor in TMS
wash	236	material	rule	wash				
zinc	235	material	aat	zinc	300011037			
brush	234	technique	llm	brush application		brush-making	0.864	tool used as application technique; TMS convention
photomechanical reproduction	232	technique	llm	photomechanical reproduction		photomechanical reproduction (process)	0.94	
plaster	229	material	rule	plaster				
wood engravings	228	technique	rule	wood engraving				
engravings	225	technique	rule	engraving				
photogravure	223	technique	rule	photogravure				
crayon	217	material	rule	crayon				
rives wove paper	214	support	rule	rives wove paper				
arches laid paper	213	support	rule	arches laid paper				
monotype	211	technique	rule	monotype				
color offset lithograph	208	technique	rule	offset lithograph				
cut edges	207	not_medium	llm	cut edge		trimming (cutting)	0.713	physical condition/book descriptor
tapestry weave	204	technique	variant	tapestry weave	300061981	tapestry weave	1.0	
japan paper	202	material	aat	japan paper	300404752			
line etching	202	technique	rule	line etching				
relief etching	200	technique	rule	relief etching				
somerset paper	198	support	rule	somerset paper				
cover	196	not_medium	llm	cover		tile, cover	0.654	bibliographic/bookbinding descriptor
hand-colored lithograph	195	technique	rule	lithograph				
roulette	192	technique	llm	roulette		boule	0.561	engraving/etching tool used as technique; hint (boule) is wrong
fiber	189	material	llm	fiber		fiber v	0.803	
bleed image	186	not_medium	llm	bleed image		bleeding through	0.719	print/layout descriptor; not a medium
lithograph poster	179	technique	rule	lithograph				
black lettering	176	technique	llm	letterpres		carbon black ink	0.614	colour+technique composite; describes printed text
glass beads	176	material	rule	glass bead				
traces	176	not_medium	llm	trace		elements, trace	0.789	physical condition/remnant descriptor
sugar lift aquatint	175	technique	rule	sugar lift aquatint				
color woodblock print	174	technique	rule	woodblock				
metallic thread	166	material	variant	metallic thread	300379384	metallic thread	1.0	
faience	166	material	llm	faience		faience (composite material)	0.626	tin-glazed earthenware composite material
pencil	166	material	rule	pencil				
loose in wrappers	165	not_medium	llm	loose in wrapper		wrap, food	0.663	physical state/binding descriptor
red	163	colour	llm	red		red, light	0.835	
tempera	163	material	aat	tempera	300015062			
copper	162	material	rule	copper				
type metal	160	material	variant	type metal	300235496	type metal	1.0	
van gelder holland wove paper	158	support	rule	van gelder holland wove paper				
a drawing	157	not_medium	rule	a drawing				
cellulose nitrate negative	156	material	llm	cellulose nitrate		cellulose nitrate	0.897	"film base material; ""negative"" is object-type but material is the relevant facet here"
plastic	155	material	rule	plastic				
softground etching	152	technique	rule	softground etching				
burnishing	151	technique	llm	burnishing		burnishing (photography)	0.825	
white chalk	151	material	rule	white chalk				
color soft ground etching	150	technique	rule	soft ground etching				
printed	147	technique	aat	printed	300053319			
scraping	147	technique	variant	scraping	300053711	scraping	1.0	
sequins	147	material	llm	sequin		sequins (spangles)	0.776	
soft-ground etching	147	technique	rule	soft-ground etching				
newsprint	145	material	aat	newsprint	300014137			
sterling silver	142	material	aat	sterling silver	300010977			
enamel	140	material	rule	enamel				
color spit bite aquatint	138	technique	rule	spit bite aquatint				
underglazed decorative motifs in blue	138	material	rule	underglazed decorative motifs in blue				
handmade paper	134	material	aat	handmade paper	300411543			
carved wood	132	technique	rule	carved wood				
red chalk	131	material	aat	red chalk	300080064			
rayon	128	material	variant	rayon	300014059	rayon	1.0	
feathers	128	material	llm	feather		feathers (material)	0.841	
transfer lithograph	125	technique	rule	transfer lithograph				
brown wash	125	material	rule	brown wash				
color monotype	124	technique	rule	monotype				
supplementary-weft patterning	122	technique	llm	supplementary-weft patterning		weft-patterning	0.862	
silk satin	120	material	rule	silk satin				
spine	119	material	rule	spine				
printed paper magazine	118	technique	rule	printed paper magazine				
holland wove paper	118	support	rule	holland wove paper				
silk embroidery	117	technique	rule	silk embroidery				
slit tapestry weave	116	technique	llm	slit tapestry weave		slit tapestry	0.944	
photograhic media	114	technique	llm	photograph		photographic media	0.825	"misspelling of ""photographic media""; technique facet"
marble	114	material	rule	marble				
woodburytype	114	technique	rule	woodburytype				
polaroid	113	technique	llm	polaroid		foid	0.646	instant photographic process/brand used as technique
carved	113	technique	aat	carved	300053149			
color woodcut triptych	113	technique	rule	woodcut triptych				
spitbite aquatint	112	technique	rule	spitbite aquatint				
oban print	111	technique	rule	oban				
colored pencils	111	material	rule	pencil				
bamboo	110	material	llm	bamboo		bamboo (material)	0.894	
lithographs	110	technique	rule	lithograph				
watercolor wash	109	material	rule	watercolor wash				
line engraving	109	technique	rule	line engraving				
steel engraving	109	technique	rule	steel engraving				
hardground etching	109	technique	rule	hardground etching				
color engraving	106	technique	rule	engraving				
text verso	106	not_medium	llm	text verso		text prompt	0.517	bibliographic/layout descriptor
nylon	105	material	variant	nylon	300014462	nylon	1.0	
net	104	material	llm	net		net (textile)	0.596	open-mesh textile structure
rives paper	103	support	rule	rives paper				
photomechanically reproduced text	102	technique	llm	photomechanical reproduction		photo-reportage	0.54	composite; core facet is the process
painted	102	material	rule	painted				
woodcut printed in black	102	technique	rule	woodcut printed in black				
gouache	101	material	rule	gouache				
machine-made vellum-type paper	101	material	rule	machine-made vellum-type paper				
polyester	100	material	llm	polyester		polyester film	0.871	
lettering	100	technique	llm	lettering		lettering (processes)	0.767	
reproductions	100	technique	llm	reproduction		reproduction (copying)	0.71	plural collapsed to canonical
ribbon	100	material	llm	ribbon		ribbon (material)	0.809	
transparent	100	not_medium	llm	transparent		paper, transparent	0.809	physical property/condition descriptor
mezzotint printed in brown ink	99	technique	rule	mezzotint printed in brown ink				
shell	99	material	rule	shell				
reproduction	98	technique	llm	reproduction		reproduction (copying)	0.756	
white woodcut	98	technique	rule	white woodcut				
hand-colored etching	97	technique	rule	etching				
silk velvet	97	material	rule	silk velvet				
offset lithograph poster	97	technique	rule	offset lithograph				
japan nacre	96	material	llm	japanese lacquer with mother-of-pearl		japan earth	0.682	"decorative lacquer material; ""japan"" = Japanese lacquer"
bone	96	material	rule	bone				
white	94	colour	llm	white		english white	0.816	
sketchbook	94	not_medium	llm	sketchbook		sketching	0.757	object-type descriptor
warp-resist dyeing	93	technique	embedding	warp-resist dyeing		resist-dyeing	0.787	
soap ground aquatint	93	technique	rule	soap ground aquatint				
brocade	91	technique	llm	brocading		brocaded	0.913	weaving technique; hint facet correct
photoetching	91	technique	rule	photoetching				
suede	90	material	variant	suede	300193368	suede	1.0	
black crayon	90	material	rule	black crayon				
gilding	90	technique	rule	gilding				
gold leaf	89	material	aat	gold leaf	300264831			
polychrome	89	colour	llm	polychrome		euchrome	0.765	multi-colour descriptor
hardground	89	material	variant	hardground	300183810	hardground	1.0	
color offset lithograph postcard	89	technique	rule	offset lithograph postcard				
wax-resist dyeing	88	material	rule	wax-resist dyeing				
color aquatint etching	88	technique	rule	aquatint etching				
drypoint etching	87	technique	rule	drypoint etching				
crayon lithograph	86	technique	rule	crayon lithograph				
chiaroscuro woodcut	86	technique	rule	chiaroscuro woodcut				
front	86	not_medium	llm	front		back-lined	0.574	physical/bibliographic orientation descriptor
raffia	85	material	llm	raffia		raffia (fiber)	0.718	
silver gilt	85	material	aat	silver gilt	300380110			
kid leather	85	material	rule	kid leather				
chiffon	84	material	variant	chiffon	300249449	chiffon	1.0	
gold paint	84	material	aat	gold paint	300343596			
steel	84	material	rule	steel				
color photograph	83	technique	llm	colour photograph		photographic	0.791	photographic process
iron	83	material	rule	iron				
supplementary weft patterning	82	technique	llm	supplementary-weft patterning		weft-patterning	0.883	variant spelling; collapsed to hyphenated canonical
incised	82	technique	variant	incised	300053847	incised	1.0	
fuji crystal archive paper	82	support	rule	fuji crystal archive paper				
offset print	82	technique	rule	offset				
bronze medal	82	material	rule	bronze medal				
softground	81	technique	llm	soft-ground etching		hardground	0.884	etching variant; hint (hardground) is the wrong sibling
engraving in pre-prepared frame	81	technique	rule	engraving in pre-prepared frame				
scrape	80	technique	llm	scraping		scraping	0.866	
burnish	80	technique	llm	burnishing		burnt	0.764	variant form of burnishing
c-print photograph	80	technique	rule	c-print photograph				
woodcuts	80	technique	rule	woodcut				
collotype	80	technique	rule	collotype				
blue	79	colour	llm	blue		blue black	0.867	
spit-bite aquatint	79	technique	rule	spit-bite aquatint				
sheet	79	not_medium	llm	sheet		film, sheet	0.725	bibliographic/physical format descriptor
photomechanical relief process	78	technique	llm	photomechanical relief printing		relief photomechanical process	0.984	
clay	78	material	aat	clay	300010439			
board	78	support	rule	board				
woodcut printed in red	77	technique	rule	woodcut printed in red				
cloth	76	material	variant	cloth	300162391	cloth	1.0	
color drypoint	76	technique	rule	drypoint				
eagle coupon board	76	support	rule	eagle coupon board				
stenciled transparent	76	technique	rule	stenciled transparent				
bfk rives paper	76	support	rule	bfk rives paper				
mixed media stain	75	technique	llm	mixed media		water stain	0.708	stain is a condition note; core term is mixed media
metal thread	74	material	variant	metal thread	300379384	metal thread	1.0	
color wash	74	material	rule	wash				
wood engraved vignette	73	material	rule	wood engraved vignette				
hardwood	72	material	aat	hardwood	300011916			
tortoise shell	72	material	aat	tortoise shell	300011837			
digital print	72	technique	rule	digital				
asian ceramic	72	material	rule	asian ceramic				
color screenprint poster	72	technique	rule	screenprint				
burnished aquatint	72	technique	rule	burnished aquatint				
pieced	71	technique	variant	pieced	300231250	pieced	1.0	
brown	71	colour	llm	brown		brown, cappagh	0.773	
warp-faced plain weave	71	technique	llm	warp-faced plain weave		pulled warp weave	0.779	weave structure variant
color woodcuts	71	technique	rule	woodcut				
hand coloring after lithograph	71	technique	rule	hand coloring after lithograph				
holland van de gelder laid paper	71	support	rule	holland van de gelder laid paper				
montval wove paper	71	support	rule	montval wove paper				
blue ink	71	material	rule	blue ink				
glazed earthenware	71	material	rule	glazed earthenware				
twine	70	material	variant	twine	300014251	twine	1.0	
additional hand coloring	70	technique	rule	additional hand coloring				
etching and/or engraving	69	technique	rule	etching and/or engraving				
silk brocade	69	material	rule	silk brocade				
