public_facet	public_label	is_public	total_occurrences	member_terms	merged_from	has_aat_anchor
Material	Paint & ink	true	14675	202	ink + paint + pigment	LLM-coined
Material	Pencil, chalk & crayon	true	4358	10	drawing material	LLM-coined
Material	Metal	true	3187	175	metal	AAT
Material	Textile	true	3142	34	textile fibre	LLM-coined
Material	Wood	true	2564	151	wood	AAT
Material	Paper	true	2509	185	paper	AAT
Material	Silk	true	2451	138	silk	AAT
Material	Ceramic	true	2267	32	ceramic	AAT
Material	Wool	true	2035	117	wool	AAT
Material	Cotton	true	1895	105	cotton	AAT
Material	Gold & silver	true	1592	51	precious metal	AAT
Material	Glass	true	1461	21	glass	AAT
Material	Porcelain	true	1297	32	porcelain	AAT
Material	Leather	true	793	129	leather	AAT
Material	Lace	true	675	5	lace	AAT
Material	Stone	true	658	98	stone	AAT
Material	Yarn & thread	true	532	7	yarn/thread	LLM-coined
Material	Ivory	true	501	11	ivory	AAT
Material	Plastic	true	437	5	plastic	AAT
Material	Shell	true	358	5	shell	AAT
Material	Marble	true	170	13	marble	AAT
Material	Enamel	true	146	1	enamel	AAT
Material	Lacquer	true	129	2	lacquer	AAT
Material	Bone	true	97	1	bone	AAT
Material	Dyeing	true	88	1	dyeing	AAT
Technique	Etching	true	26098	131	etching	AAT
Technique	Engraving	true	15555	47	engraving + stipple engraving	AAT
Technique	Lithograph	true	14561	12	lithograph	LLM-coined
Technique	Woodcut	true	8041	62	woodcut	AAT
Technique	Wood engraving	true	7923	23	wood engraving	AAT
Technique	Aquatint	true	6745	74	aquatint	AAT
Technique	Photographic process	true	5122	44	photographic process	LLM-coined
Technique	Drypoint	true	4106	25	drypoint	AAT
Technique	Offset lithograph	true	3420	12	offset lithograph	LLM-coined
Technique	Hand colouring	true	2639	8	hand colouring	LLM-coined
Technique	Mezzotint	true	1662	9	mezzotint	AAT
Technique	Screenprint	true	1415	3	screenprint	LLM-coined
Technique	Prints	true	1370	21	other printmaking	LLM-coined
Technique	Weaving	true	1295	18	weaving	AAT
Technique	Embroidery	true	1251	8	embroidery	AAT
Technique	Photomechanical print	true	1055	9	photomechanical	LLM-coined
Technique	Drawing	true	863	7	drawing	AAT
Technique	Letterpress	true	766	2	letterpress	LLM-coined
Technique	Knitting & knotting	true	553	1	knitting/knotting	LLM-coined
Technique	Line block	true	506	1	line block	LLM-coined
Technique	Pochoir	true	462	3	pochoir	AAT
Technique	Linocut	true	436	2	linocut	LLM-coined
Technique	Monotype	true	410	11	monotype	AAT
Technique	Photogravure	true	355	17	photogravure	AAT
Technique	Dyeing	true	225	20	dyeing	AAT
Technique	Woodburytype	true	114	1	woodburytype	AAT
Technique	Intaglio print	true	98	1	intaglio print	AAT
Technique	Collotype	true	86	1	collotype	AAT
Technique	Collagraph	true	75	2	collagraph	LLM-coined
Technique	Relief print	true	38	1	relief print	AAT
Material	Plant material	false	1734	129	plant material	AAT
Material	Animal material	false	1274	231	animal material	AAT
Material	Trimmings	false	1181	11	trim	LLM-coined
Material	Other material	false	914	14	other material	LLM-coined
Material	Mica	false	71	1	mica	AAT
Material	Wax	false	47	1	wax	AAT
Technique	Surface technique	false	2075	18	surface technique	LLM-coined
Technique	Other technique	false	797	10	other technique	LLM-coined
Technique	Binding	false	188	4	binding/mounting	LLM-coined
