label	cn	tgn_depth	state	display_label	tier	country	region_auto	region_curator_fix	override_label	confidence	objects
United States	AUZ.AAAAB.AAABZ.AAAKC	3		United States	country	United States	North America			auto	29576
France	AUZ.AAAAB.AAABH.AAASY	3		France	country	France	Europe			auto	22953
Great Britain	AUZ.AAAAB.AAABH.AAAKF	3		Great Britain	country	United Kingdom	Europe			auto	10155
England	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAABT	5		England, United Kingdom	notable	United Kingdom	Europe			auto	9995
Germany	AUZ.AAAAB.AAABH.AAAQL	3		Germany	country	Germany	Europe			auto	7725
Italy	AUZ.AAAAB.AAABH.AAAVP	3		Italy	country	Italy	Europe			auto	6303
Japan	AUZ.AAAAB.AAAAJ.AAACQ	3		Japan	country	Japan	East Asia			auto	5111
San Francisco	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AABII	5	California	San Francisco, California	notable	United States	North America			auto	4467
Holland	AUZ.AAAAB.AAABH.AAACY	3		Holland	country	Holland	Europe			auto	3984
California	AUZ.AAAAB.AAABZ.AAAKC.AAAQT	4	California	California	state	United States	North America			auto	3460
Paris	AUZ.AAAAB.AAABH.AAASY.AAAME.AAAHD	5		Paris, France	notable	France	Europe			auto	3423
Europe	AUZ.AAAAB.AAABH	2		Europe	region(tgn)		Europe			auto	2386
Flanders	AUZ.AAAAB.AAABH.AAASO	3		Flanders	country	Flanders	Europe			auto	2077
China	AUZ.AAAAB.AAAAJ.AAAJE	3		China	country	China	East Asia			auto	1386
Spain	AUZ.AAAAB.AAABH.AAASB	3		Spain	country	Spain	Europe			auto	1182
Mexico	AUZ.AAAAB.AAABZ.AAAFG	3		Mexico	country	Mexico	North America			auto	1065
Switzerland	AUZ.AAAAB.AAABH.AAAHG	3		Switzerland	country	Switzerland	Europe			auto	1062
North America	AUZ.AAAAB.AAABZ.AAAGH	3		North America	country	North America	North America			auto	1001
Scotland	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAADE	5		Scotland, United Kingdom	notable	United Kingdom	Europe			auto	812
Berkeley	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAAAE.AAAAS	5	California	Berkeley, California	notable	United States	North America			auto	723
Bohemia	AUZ.AAAAB.AAABH.AAARM.AAAAJ.AAAAB	5		Bohemia	notable		Europe			review: country from TGN branch node	718
Egypt	AUZ.AAAAB.AAAAB.AAAPN	3		Egypt	country	Egypt	Africa			auto	710
New York	AUZ.AAAAB.AAABZ.AAAKC.AAEFW	4	New York	New York	state	United States	North America			auto	658
Austria	AUZ.AAAAB.AAABH.AAAEF	3		Austria	country	Austria	Europe			auto	569
Los Angeles	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAATP.AAATF	5	California	Los Angeles, California	notable	United States	North America			auto	557
New York City	AUZ.AAAAB.AAABZ.AAAKC.AAEFW.AAAJG	5	New York	New York City, New York	notable	United States	North America			auto	555
Russia	AUZ.AAAAB.AAAAJ.AAAEY	3		Russia	country	Russia	East Asia			auto	549
London	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAACN.AAAAQ	8		London	notable		Europe			review: country from TGN branch node	496
Peru	AUZ.AAAAB.AAACT.AAAEL	3		Peru	country	Peru	South America			auto	495
Ghana	AUZ.AAAAB.AAAAB.AAAKR	3		Ghana	country	Ghana	Africa			auto	465
Belgium	AUZ.AAAAB.AAABH.AAAMT	3		Belgium	country	Belgium	Europe			auto	424
Amsterdam	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAA.AAADC.AABNU	7		Amsterdam	notable		Europe			auto	354
Central Asia	AUZ.AAAAB.AAAAJ.AAAMD	3		Central Asia	country	Central Asia	Central Asia			auto	269
Democratic Republic of the Congo	AUZ.AAAAB.AAAAB.AAAIT	3		Democratic Republic of the Congo	country	Democratic Republic of the Congo	Africa			auto	205
Poland	AUZ.AAAAB.AAABH.AAAFD	3		Poland	country	Poland	Europe			auto	204
Iran	AUZ.AAAAB.AAAAJ.AAAQH	3		Iran	country	Iran	Middle East			auto	202
Venice	AUZ.AAAAB.AAABH.AAAVP.AAAGP.AAAAE	5		Venice, Italy	notable	Italy	Europe			auto	202
Oakland	AUZ.AAAAB.AAABZ.AAAKC.AAAQT.AAAAE.AAAFB	5	California	Oakland, California	notable	United States	North America			auto	202
India	AUZ.AAAAB.AAAAJ.AAALD	3		India	country	India	South Asia			auto	200
Guatemala	AUZ.AAAAB.AAABZ.AAADU	3		Guatemala	country	Guatemala	Central America			auto	198
Alaska	AUZ.AAAAB.AAABZ.AAAKC.AAHGI	4	Alaska	Alaska	state	United States	North America			auto	186
Philippines	AUZ.AAAAB.AAAAJ.AAADZ	3		Philippines	country	Philippines	Southeast Asia			auto	173
Ohio	AUZ.AAAAB.AAABZ.AAAKC.AAEMD	4	Ohio	Ohio	state	United States	North America			auto	173
Czech Republic	AUZ.AAAAB.AAABH.AAAOZ	3		Czech Republic	country	Czech Republic	Europe			auto	146
New Mexico	AUZ.AAAAB.AAABZ.AAAKC.AAEFS	4	New Mexico	New Mexico	state	United States	North America			auto	146
Greece	AUZ.AAAAB.AAABH.AAARU	3		Greece	country	Greece	Europe			auto	145
Ireland	AUZ.AAAAB.AAABH.AAAVG	3		Ireland	country	Ireland	Europe			auto	144
Brussels	AUZ.AAAAB.AAABH.AAAAR.AAABC.AAAAB.AAAAM.AAAAJ	7		Brussels	notable		Europe			auto	143
Southwest	AUZ.AAAAB.AAABZ.AAAKC.AAFZT	4	Southwest	Southwest	state	United States	North America			auto	133
Nigeria	AUZ.AAAAB.AAAAB.AAABD	3		Nigeria	country	Nigeria	Africa			auto	133
Afghanistan	AUZ.AAAAB.AAAAJ.AAAAI	3		Afghanistan	country	Afghanistan	Central Asia			auto	130
West Mexico	AUZ.AAAAB.AAABZ.AAAEF	3		West Mexico	country	West Mexico	North America			auto	130
Roman Empire	AUZ.AAAAB.AAACL	2		Roman Empire	region(tgn)	Roman Empire	Europe			auto	123
Sweden	AUZ.AAAAB.AAABH.AAAIY	3		Sweden	country	Sweden	Europe			auto	123
South Africa	AUZ.AAAAB.AAAAB.AAAEE	3		South Africa	country	South Africa	Africa			auto	122
Caroline Islands	AUZ.AAAAB.AAACB.AAAAE	3		Caroline Islands	country	Caroline Islands	Oceania			auto	117
Canada	AUZ.AAAAB.AAABZ.AAABF	3		Canada	country	Canada	North America			auto	111
Israel	AUZ.AAAAB.AAAAJ.AAAIZ	3		Israel	country	Israel	Middle East			auto	108
Rome	AUZ.AAAAB.AAABH.AAAVP.AAADM.AAAAE	5		Rome, Italy	notable	Italy	Europe			auto	107
Kansas	AUZ.AAAAB.AAABZ.AAAKC.AACZN	4	Kansas	Kansas	state	United States	North America			auto	107
Asia	AUZ.AAAAB.AAAAJ	2		Asia	region(tgn)		East Asia			auto	107
Anatolia	AUZ.AAAAB.AAAAJ.AAAAF.AAAAD.AABGE	5		Anatolia, Achaemenid	notable	Achaemenid	Middle East			auto	99
Staffordshire	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAGD	7		Staffordshire	notable		Europe			review: country from TGN branch node	98
Turkey	AUZ.AAAAB.AAAAJ.AAAID	3		Turkey	country	Turkey	Middle East			auto	97
Worcester	AUZ.AAAAB.AAABH.AAADQ.AAAAE.AAACA.AAAAY.AAAHV.AAAGG	8		Worcester	notable		Europe			review: country from TGN branch node	94
Eastern United States	AUZ.AAAAB.AAABZ.AAAKC.AABRJ	4	Eastern United States	Eastern United States	state	United States	North America			auto	92
Uzbekistan	AUZ.AAAAB.AAAAJ.AAADD	3		Uzbekistan	country	Uzbekistan	Central Asia			auto	90
Ethiopia	AUZ.AAAAB.AAAAB.AAALP	3		Ethiopia	country	Ethiopia	Africa			auto	89
Mesoamerica	AUZ.AAAAB.AAABZ.AAABI	3		Mesoamerica	country	Mesoamerica	Central America			auto	85
Australia	AUZ.AAAAB.AAACB.AAAAC	3		Australia	country	Australia	Oceania			auto	85
Boston	AUZ.AAAAB.AAABZ.AAAKC.AADRY.AAAIW.AAAAJ	6	Massachusetts	Boston, Massachusetts	notable	United States	North America			auto	84
